id,name,phone,address,city,county,zip_code,lat,lng,category,services,hours,eligibility,website,verified_date,source,created_at,updated_at
0307b3b3-7ca0-4704-8285-f171cd9a1a24,The Drake House,770-587-4712; 844-249-8367,"10500 Clara Drive, Roswell, GA 30075",Roswell,Fulton,30075,34.0358763,-84.3459424,Housing,Emergency and transitional housing for homeless women with children; support services,Mon-Thu 9:00am-5:00pm,Homeless women with children,https//thedrakehouse.org,2026-01-23,FACAA,2026-02-19 20:14:55.163374+00,2026-02-19 20:14:55.163374+00
039c3a36-af93-4cd5-b7bd-99cce5e8573d,Community Services Block Grant (CSBG),(877) 423-4746,"47 Trinity Ave. S.W.
Atlanta, GA 30334",Atlanta,Fulton,30334,33.7478362244531,-84.389211345359,Financial,"Federally funded program supporting community action agencies to provide services addressing employment, education, housing, nutrition, emergency services and health",Call for assistance,U.S. citizen or legally admitted immigrant; household income at or below 125% of Federal Poverty,https://dfcs.georgia.gov/services/community-services-block-grant-csbg,2026-01-23,DFCS,2026-02-19 20:14:55.590887+00,2026-02-19 20:14:55.590887+00
04c331f5-0c59-479d-bc7b-2a41d6974f49,Atlanta Housing Authority,404-892-4700,"230 John Wesley Dobbs Ave NE, Atlanta, GA 30303",Atlanta,Fulton,30303,33.7582852695331,-84.379833718375,Housing,"Public housing authority for Atlanta providing affordable housing, vouchers, and supportive services.",Mon-Fri 8am-5pm except holidays,"Low-income families, seniors & individuals with disabilities; apply via waiting list.",https//www.atlantahousing.org/,2026-01-23,Fulton Services,2026-02-19 20:14:55.75617+00,2026-02-19 20:14:55.75617+00
0e997b5c-4807-4b5c-8cd4-da84d8ae0146,Agape Youth & Family Center,(404) 355-1877,"2210 Marietta Blvd NW, Atlanta, GA 30318",Atlanta,Fulton,30318,33.81519,-84.444224,"Youth Services ",Provides programs and resources for underserved children and families including after-school programming,"Call for availability ",Children and families in need,https://agapeatlanta.org,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
10928f68-4323-48f7-919d-261a410c47cf,Georgia Justice Project,(404) 827-0027,"438 Edgewood Ave SE, Atlanta, GA 30312",Atlanta,Fulton,30312,33.7545384724442,-84.3733776116366,Legal,Provides legal representation and advocacy for individuals in the criminal justice system," Mon-Thurs 9:00am-5:00pm; Friday 9:00am-1:00pm",Individuals impacted by the criminal justice system,https://www.gjp.org,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
11dac66d-5d3c-42f9-ad7d-284ebe28a9ab,Teen Health Care Center,"(404)-616-1000 (Main);
(404)-616-1000 (Appointments)","80 Jesse Hill Jr Drive SE
Atlanta, GA 30303",Atlanta,Fulton,30303,33.752165,-84.382179,Healthcare,"Confidential teen-friendly health education, contraception/birth control, STI/HIV testing & treatment, pregnancy testing, HPV vaccines",24/hr,Ages 13-19,https://www.gradyhealth.org/,2026-01-23,SKYE,2026-02-19 20:14:55.903421+00,2026-02-19 20:14:55.903421+00
152b4bb1-757e-4ea5-8cca-ac382c016474,Emergency Solutions Grant (Fulton County),404-612-4000,"141 Pryor St. SW, Atlanta, GA 30303",Atlanta,Fulton,30303,33.751508,-84.391737,Utlities,"Provides eviction prevention, utility assistance, security deposits, rental arrears and emergency shelter services",Call for avialbility,Low-income households facing housing crisis,https://fultoncountyga.gov/inside-fulton-county/fulton-county-departments/community-development/community-block-grants/emergency-solutions-grant,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
15784879-f913-4b60-a003-d6216ac16b76,Atlanta Volunteer Lawyers Foundation (AVLF)  Tenant/Landlord Program,404-521-0790,"352 University Ave SW n118, Atlanta, GA 30310",Atlanta,Fulton,30310,33.7216979990297,-84.3995901183763,Legal,Provides free legal assistance to low-income tenants facing eviction and other landlord/tenant issues.,Mon-Fri 9am-1pm,Residents of Fulton or Clayton counties with income at or below 200% of the federal poverty level.,https://avlf.org/,2026-01-23,Fulton Services,2026-02-19 20:14:56.046691+00,2026-02-19 20:14:56.046691+00
1786bef8-cea1-4983-8a99-ea8c23145436,Urban League of Greater Atlanta,404-659-6577,"229 Peachtree St NE Suite 300, Atlanta, GA 30303",Atlanta,Fulton,30303,33.760167,-84.387865,Employment,"Workforce development, career readiness and job placement programs",Monday–Friday 8:00 AM – 5:00 PM,Individuals seeking employment support,https://ulgatl.org,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
17b100dc-02f0-4ceb-84c2-a5ac1e2a5b8a,Low Income Home Energy Assistance Program (LIHEAP) Georgia Department of Human Resources,404-657-3426,"47 Trinity Ave. S.W.
Atlanta, GA 30334",Atlanta,Fulton,30334,33.748068,-84.389222,Financial,Provides federal energy assistance payments to help low-income households pay heating and cooling bills.,Call for assistance,Households at or below 150% of poverty; U.S. citizens or legally admitted aliens; responsible for energy costs.,https://dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,2026-01-23,Fulton Services,2026-02-19 20:14:56.575646+00,2026-02-19 20:14:56.575646+00
19aa64d2-688e-4dd1-abd6-4cfa2476a42b,Atlanta WorkSource,404-546-3000,"818 Pollard Blvd SW, Atlanta, GA 30315",Atlanta,Fulton,30315,33.732632,-84.390165,Employment,"Career counseling, job training, internships and employment services",Mon-Fri 8:30 AM-5:30 PM,City of Atlanta residents seeking employment,https://worksourceatlanta.org,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
1b20b38a-26da-4aca-a185-e466189495df,Foster Care Placement,(877) 423-4746,"47 Trinity Ave SW, Atlanta, GA 30334",Atlanta,Fulton,30334,33.7478362244531,-84.389211345359,Housing,Coordinates placement of children into foster homes and provides support for foster care placementshttps//dfcs.georgia.gov/about-us/contact-information,Call for assistance,Children in state custody and licensed foster families; Must be at least 21 years of age; Must complete an information session virtually or in person at the local county office; Must successfully complete pre-service IMPACT Family Centered Practice training; Must complete a medical exam; Must undergo both child protective screening and criminal record check; Must provide proof of current residence & financial stability,https://fostergeorgia.com/general-information/,2026-01-23,DFCS,2026-02-19 20:14:56.692817+00,2026-02-19 20:14:56.692817+00
1bf4bc75-7328-48ee-a0f3-cccbd1229835,Hope Atlanta H,404-817-7070,"458 Ponce de Leon Ave. NE, Building B, Terrace Level, Atlanta, GA 30308",Atlanta,Fulton,30308,33.773927,-84.371991,Housing,"Provides homeless prevention services, shelter placement and supportive housing",Call for availability,Individuals and families at risk of homelessness,https://hopeatlanta.org/,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
1cf9376b-10c3-4613-bb48-90fdfc503ef5,Georgia Campaign for Adolescent Power & Potential (GCAPP),(404) 524-2277,"1849 The Exchange SE, Suite 200, Atlanta, GA 30339",Atlanta,Fulton,30339,33.9078529978882,-84.4782143,Youth Services,"Youth empowerment, parent engagement, comprehensive sex education, teen pregnancy prevention, physical activity & nutrition",Call for assistance,Adolescents and parents,https//www.gcapp.org/,2026-01-23,SKYE,2026-02-19 20:14:56.807968+00,2026-02-19 20:14:56.807968+00
1d1c661f-9d05-4fc4-966a-31fdf2178d27,Covenant House Georgia,404-589-0163,"1559 Johnson Rd NW, Atlanta, GA 30318",Atlanta,Fulton,"30318
",33.788075,-84.437638,Housing,Shelter and services for homeless youth including housing and support,Mon-Fri 9:00 AM-5:00 PM,Youth experiencing homelessness,https://covenanthousega.org,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
1dcc775f-28a4-40c3-9ab7-a08dc96ddd32,North Fulton Regional Health Center,770-520-7241,"3155 Royal Drive, Alpharetta, GA 30022",Alpharetta,Fulton,30022,34.0581380606371,-84.2646143711639,Healthcare,"Services offered  at this location include: COVID-19 Vaccinations; Immunizations; Tuberculosis (TB) Skin Test; Refugee Health Screening; SSI Disability Screening; Travel Clinic; Teen Health Services; Oral Health Services(childern only); Low THC Oil Card (Pick-Up Only); Eye, Ear, and Dental Screening; SafeWorks; Mpox Vaccinations; WIC Services; Food Services; Swimming Pool & Spa; Sewage Systems; Tourist Accommodations; Nuisance Complaints; Pregnancy Testing; Family Planning; Perinatal Cases Management; Breast & Cervical Cancer Screening; STI Evaluation & Treatment; Presumptive Eligibility for Medicaid",Mon-Fri 8:30am-12pm & 1pm-5pm,General public; call for appointment.,https//fultoncountyboh.com/locations/,2026-01-23,Fulton Services,2026-02-19 20:14:56.943091+00,2026-02-19 20:14:56.943091+00
1ed6709e-e754-420e-9867-7451e11f557e,Neighborhood Union Health Center,770-520-7351,"186 Sunset Avenue NW, Atlanta, GA 30314",Atlanta,Fulton,30314,33.7601131192753,-84.410477890449,Healthcare,"Provides immunizations, WIC, family planning and perinatal case management.",Mon-Fri 8:30am-12pm & 1pm-5pm,General public; call for appointment.,https//fultoncountyboh.com/locations/,2026-01-23,Fulton Services,2026-02-19 20:14:57.07976+00,2026-02-19 20:14:57.07976+00
226fe95d-f8c7-47e9-9769-0e91d6b3521f,Ben Massel Dental Clinic,404-881-1858,"700 Fourteenth Street NW, Atlanta, GA 30318",Atlanta,Fulton,30318,33.7858600911744,-84.4098205446102,Healthcare,"Dental exams, x-rays, diagnostics, fillings, extractions, oral surgery, orthodontics (children only), case management, family services",Mon-Fri 8:30-4:30,"If you are uninsured (dental coverage), a resident of metro Atlanta (Butts, Cherokee, Clayton, Cobb, Coweta, DeKalb, Douglas, Fayette, Fulton, Gwinnett, Henry, Paulding, Rockdale) and have a household income that is at or below 125% of the Federal Poverty Level, then you may be eligible for services at the BMDC.; For persons with Medicaid or Medicare, please call your dental health plan administrator to confirm covered services.; If you are unemployed, please complete a DOL Wage Inquiry form and submit it to the Department of Labor, as instructed on the form.",https//benmasseldentalclinic.org/,2026-01-23,SKYE,2026-02-19 20:14:57.183356+00,2026-02-19 20:14:57.183356+00
228a6a5b-4bb4-4e83-9d46-ac96165ff06f,Transdev Senior Shared-Ride Transportation,404-613-6000,"141 Pryor Street SW, Atlanta, GA 30303",Atlanta,Fulton,30303,33.7512081909614,-84.3925268211142,Transportation,"Shared-ride van service providing transportation to non-emergency medical appointments, senior centers, and adult daycare.",Call for schedule; operates on weekdays,Fulton County seniors aged 60+; service under Older Americans Act; call to enroll.,https//www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/senior-services/senior-transportation,2026-01-23,Fulton Services,2026-02-19 20:14:57.321406+00,2026-02-19 20:14:57.321406+00
235913e2-6db4-4011-ace2-4ebb0df8c9af,Feeding GA Families Food Pantry (College Park),678-223-3663,"2514 W Point Ave, Atlanta, GA 30337",Atlanta,Fulton,30337,33.6274919288971,-84.471968637795,Food,Provides groceries and meals for families and the homeless,Mondays 6:00pm to 8:00pm,"Families, homeless individuals and single moms",,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
236cf2cb-0fb1-431a-a715-96f27a0fe87a,My Sister’s House,404-367-2465,"921 Howell Mill Rd NW, Atlanta, GA 30318",Atlanta,Fulton,30318,33.780429,-84.410508,Housing,"Emergency shelter for women and children with meals, counseling and vocational training",Mon-Fri 8:00 AM- 4:30 PM,Homeless women and children,https://atlantamission.org/my-sisters-house/,2026-02-19,,2026-02-19 20:17:13.061354+00,2026-02-19 20:17:13.061354+00
